problem,algorithm,train_seed,mean,sd
DTLZ2_3,DQN,2022,0.0413,0.0008
DTLZ2_3,MA-DAC,2022,0.0408,0.0011
DTLZ4_3,DQN,2022,0.0553,0.0394
DTLZ4_3,MA-DAC,2022,0.0520,0.0377
WFG4_3,DQN,2022,0.0569,0.0011
WFG4_3,MA-DAC,2022,0.0547,0.0010
WFG5_3,DQN,2022,0.0480,0.0007
WFG5_3,MA-DAC,2022,0.0481,0.0009
WFG6_3,DQN,2022,0.0807,0.0200
WFG6_3,MA-DAC,2022,0.0610,0.0183
WFG7_3,DQN,2022,0.0436,0.0009
WFG7_3,MA-DAC,2022,0.0440,0.0010
WFG8_3,DQN,2022,0.0829,0.0016
WFG8_3,MA-DAC,2022,0.0855,0.0021
WFG9_3,DQN,2022,0.0602,0.0256
WFG9_3,MA-DAC,2022,0.0581,0.0232
