problem,algorithm,n_seeds,n_repeats,mean,sd
DTLZ2_3,DQN,3,30,0.0411,0.0011
DTLZ2_3,PPO,3,30,0.0384,0.0008
DTLZ2_3,MA-DAC,3,30,0.0413,0.0011
DTLZ4_3,DQN,3,30,0.0519,0.0269
DTLZ4_3,PPO,3,30,0.0742,0.0650
DTLZ4_3,MA-DAC,3,30,0.0666,0.0619
WFG4_3,DQN,3,30,0.0563,0.0014
WFG4_3,PPO,3,30,0.0522,0.0011
WFG4_3,MA-DAC,3,30,0.0550,0.0013
WFG5_3,DQN,3,30,0.0479,0.0008
WFG5_3,PPO,3,30,0.0479,0.0010
WFG5_3,MA-DAC,3,30,0.0484,0.0009
WFG6_3,DQN,3,30,0.0756,0.0214
WFG6_3,PPO,3,30,0.0494,0.0150
WFG6_3,MA-DAC,3,30,0.0627,0.0184
WFG7_3,DQN,3,30,0.0441,0.0009
WFG7_3,PPO,3,30,0.0409,0.0008
WFG7_3,MA-DAC,3,30,0.0447,0.0012
WFG8_3,DQN,3,30,0.0825,0.0016
WFG8_3,PPO,3,30,0.0795,0.0021
WFG8_3,MA-DAC,3,30,0.0848,0.0032
WFG9_3,DQN,3,30,0.0673,0.0267
WFG9_3,PPO,3,30,0.0422,0.0010
WFG9_3,MA-DAC,3,30,0.0529,0.0178
