problem,condition,pooled_mean,pooled_sd,seed42_mean,seed42_sd,seed123_mean,seed123_sd,seed2022_mean,seed2022_sd
DTLZ2_3,adaptive_open=False,0.0468,0.0004,0.0468,0.0004,0.0469,0.0004,0.0468,0.0004
DTLZ2_3,adaptive_open=True,0.0411,0.0011,0.0412,0.0013,0.0408,0.0011,0.0413,0.0008
DTLZ4_3,adaptive_open=False,0.0653,0.0405,0.0627,0.0357,0.0688,0.0497,0.0645,0.0355
DTLZ4_3,adaptive_open=True,0.0519,0.0269,0.0542,0.0247,0.0462,0.0039,0.0553,0.0394
WFG4_3,adaptive_open=False,0.0711,0.0017,0.0707,0.0018,0.0710,0.0019,0.0715,0.0014
WFG4_3,adaptive_open=True,0.0563,0.0014,0.0557,0.0013,0.0563,0.0013,0.0569,0.0011
WFG5_3,adaptive_open=False,0.0638,0.0010,0.0641,0.0010,0.0636,0.0008,0.0637,0.0012
WFG5_3,adaptive_open=True,0.0479,0.0008,0.0480,0.0008,0.0478,0.0008,0.0480,0.0007
WFG6_3,adaptive_open=False,0.0869,0.0248,0.0744,0.0224,0.0991,0.0228,0.0873,0.0233
WFG6_3,adaptive_open=True,0.0756,0.0214,0.0807,0.0187,0.0654,0.0222,0.0807,0.0200
WFG7_3,adaptive_open=False,0.0607,0.0008,0.0603,0.0007,0.0608,0.0007,0.0609,0.0010
WFG7_3,adaptive_open=True,0.0441,0.0009,0.0442,0.0008,0.0445,0.0008,0.0436,0.0009
WFG8_3,adaptive_open=False,0.0962,0.0029,0.0942,0.0011,0.0947,0.0012,0.0997,0.0020
WFG8_3,adaptive_open=True,0.0825,0.0016,0.0817,0.0017,0.0829,0.0014,0.0829,0.0016
WFG9_3,adaptive_open=False,0.0894,0.0260,0.0960,0.0238,0.0839,0.0273,0.0882,0.0262
WFG9_3,adaptive_open=True,0.0673,0.0267,0.0867,0.0209,0.0550,0.0222,0.0602,0.0256
