problem,algorithm,train_seed,mean,sd
DTLZ2_3,DQN,42,0.0412,0.0013
DTLZ2_3,DQN,123,0.0408,0.0011
DTLZ2_3,DQN,2022,0.0413,0.0008
DTLZ2_3,PPO,42,0.0386,0.0009
DTLZ2_3,PPO,123,0.0382,0.0008
DTLZ2_3,PPO,2022,0.0384,0.0007
DTLZ2_3,MA-DAC,42,0.0414,0.0010
DTLZ2_3,MA-DAC,123,0.0418,0.0011
DTLZ2_3,MA-DAC,2022,0.0408,0.0011
DTLZ4_3,DQN,42,0.0542,0.0247
DTLZ4_3,DQN,123,0.0462,0.0039
DTLZ4_3,DQN,2022,0.0553,0.0394
DTLZ4_3,PPO,42,0.0774,0.0696
DTLZ4_3,PPO,123,0.0700,0.0607
DTLZ4_3,PPO,2022,0.0753,0.0663
DTLZ4_3,MA-DAC,42,0.0600,0.0521
DTLZ4_3,MA-DAC,123,0.0878,0.0831
DTLZ4_3,MA-DAC,2022,0.0520,0.0377
WFG4_3,DQN,42,0.0557,0.0013
WFG4_3,DQN,123,0.0563,0.0013
WFG4_3,DQN,2022,0.0569,0.0011
WFG4_3,PPO,42,0.0523,0.0012
WFG4_3,PPO,123,0.0518,0.0010
WFG4_3,PPO,2022,0.0525,0.0010
WFG4_3,MA-DAC,42,0.0545,0.0013
WFG4_3,MA-DAC,123,0.0556,0.0013
WFG4_3,MA-DAC,2022,0.0547,0.0010
WFG5_3,DQN,42,0.0480,0.0008
WFG5_3,DQN,123,0.0478,0.0008
WFG5_3,DQN,2022,0.0480,0.0007
WFG5_3,PPO,42,0.0477,0.0010
WFG5_3,PPO,123,0.0476,0.0011
WFG5_3,PPO,2022,0.0484,0.0007
WFG5_3,MA-DAC,42,0.0485,0.0008
WFG5_3,MA-DAC,123,0.0485,0.0009
WFG5_3,MA-DAC,2022,0.0481,0.0009
WFG6_3,DQN,42,0.0807,0.0187
WFG6_3,DQN,123,0.0654,0.0222
WFG6_3,DQN,2022,0.0807,0.0200
WFG6_3,PPO,42,0.0469,0.0130
WFG6_3,PPO,123,0.0525,0.0187
WFG6_3,PPO,2022,0.0488,0.0123
WFG6_3,MA-DAC,42,0.0633,0.0200
WFG6_3,MA-DAC,123,0.0638,0.0173
WFG6_3,MA-DAC,2022,0.0610,0.0183
WFG7_3,DQN,42,0.0442,0.0008
WFG7_3,DQN,123,0.0445,0.0008
WFG7_3,DQN,2022,0.0436,0.0009
WFG7_3,PPO,42,0.0407,0.0007
WFG7_3,PPO,123,0.0405,0.0006
WFG7_3,PPO,2022,0.0415,0.0006
WFG7_3,MA-DAC,42,0.0449,0.0010
WFG7_3,MA-DAC,123,0.0453,0.0013
WFG7_3,MA-DAC,2022,0.0440,0.0010
WFG8_3,DQN,42,0.0817,0.0017
WFG8_3,DQN,123,0.0829,0.0014
WFG8_3,DQN,2022,0.0829,0.0016
WFG8_3,PPO,42,0.0783,0.0017
WFG8_3,PPO,123,0.0791,0.0018
WFG8_3,PPO,2022,0.0811,0.0019
WFG8_3,MA-DAC,42,0.0818,0.0016
WFG8_3,MA-DAC,123,0.0871,0.0030
WFG8_3,MA-DAC,2022,0.0855,0.0021
WFG9_3,DQN,42,0.0867,0.0209
WFG9_3,DQN,123,0.0550,0.0222
WFG9_3,DQN,2022,0.0602,0.0256
WFG9_3,PPO,42,0.0414,0.0006
WFG9_3,PPO,123,0.0418,0.0008
WFG9_3,PPO,2022,0.0432,0.0007
WFG9_3,MA-DAC,42,0.0532,0.0186
WFG9_3,MA-DAC,123,0.0475,0.0055
WFG9_3,MA-DAC,2022,0.0581,0.0232
