problem,algorithm_a,algorithm_b,seed,mean_a,mean_b,lower_mean,p_adj,sig,significant_seeds
DTLZ2_3,DQN,PPO,42,0.0412,0.0386,PPO,0.0000,yes,3/3
DTLZ2_3,DQN,PPO,123,0.0408,0.0382,PPO,0.0000,yes,3/3
DTLZ2_3,DQN,PPO,2022,0.0413,0.0384,PPO,0.0000,yes,3/3
DTLZ2_3,PPO,MA-DAC,42,0.0386,0.0414,PPO,0.0000,yes,3/3
DTLZ2_3,PPO,MA-DAC,123,0.0382,0.0418,PPO,0.0000,yes,3/3
DTLZ2_3,PPO,MA-DAC,2022,0.0384,0.0408,PPO,0.0000,yes,3/3
DTLZ4_3,DQN,PPO,42,0.0542,0.0774,DQN,0.2382,no,1/3
DTLZ4_3,DQN,PPO,123,0.0462,0.0700,DQN,0.2382,no,1/3
DTLZ4_3,DQN,PPO,2022,0.0553,0.0753,DQN,0.0186,yes,1/3
DTLZ4_3,PPO,MA-DAC,42,0.0774,0.0600,MA-DAC,0.0241,yes,2/3
DTLZ4_3,PPO,MA-DAC,123,0.0700,0.0878,PPO,0.1772,no,2/3
DTLZ4_3,PPO,MA-DAC,2022,0.0753,0.0520,MA-DAC,0.0047,yes,2/3
WFG4_3,DQN,PPO,42,0.0557,0.0523,PPO,0.0000,yes,3/3
WFG4_3,DQN,PPO,123,0.0563,0.0518,PPO,0.0000,yes,3/3
WFG4_3,DQN,PPO,2022,0.0569,0.0525,PPO,0.0000,yes,3/3
WFG4_3,PPO,MA-DAC,42,0.0523,0.0545,PPO,0.0000,yes,3/3
WFG4_3,PPO,MA-DAC,123,0.0518,0.0556,PPO,0.0000,yes,3/3
WFG4_3,PPO,MA-DAC,2022,0.0525,0.0547,PPO,0.0000,yes,3/3
WFG5_3,DQN,PPO,42,0.0480,0.0477,PPO,0.2806,no,1/3
WFG5_3,DQN,PPO,123,0.0478,0.0476,PPO,0.5158,no,1/3
WFG5_3,DQN,PPO,2022,0.0480,0.0484,DQN,0.0339,yes,1/3
WFG5_3,PPO,MA-DAC,42,0.0477,0.0485,PPO,0.0012,yes,2/3
WFG5_3,PPO,MA-DAC,123,0.0476,0.0485,PPO,0.0007,yes,2/3
WFG5_3,PPO,MA-DAC,2022,0.0484,0.0481,MA-DAC,0.2129,no,2/3
WFG6_3,DQN,PPO,42,0.0807,0.0469,PPO,0.0000,yes,3/3
WFG6_3,DQN,PPO,123,0.0654,0.0525,PPO,0.0003,yes,3/3
WFG6_3,DQN,PPO,2022,0.0807,0.0488,PPO,0.0000,yes,3/3
WFG6_3,PPO,MA-DAC,42,0.0469,0.0633,PPO,0.0000,yes,3/3
WFG6_3,PPO,MA-DAC,123,0.0525,0.0638,PPO,0.0000,yes,3/3
WFG6_3,PPO,MA-DAC,2022,0.0488,0.0610,PPO,0.0000,yes,3/3
WFG7_3,DQN,PPO,42,0.0442,0.0407,PPO,0.0000,yes,3/3
WFG7_3,DQN,PPO,123,0.0445,0.0405,PPO,0.0000,yes,3/3
WFG7_3,DQN,PPO,2022,0.0436,0.0415,PPO,0.0000,yes,3/3
WFG7_3,PPO,MA-DAC,42,0.0407,0.0449,PPO,0.0000,yes,3/3
WFG7_3,PPO,MA-DAC,123,0.0405,0.0453,PPO,0.0000,yes,3/3
WFG7_3,PPO,MA-DAC,2022,0.0415,0.0440,PPO,0.0000,yes,3/3
WFG8_3,DQN,PPO,42,0.0817,0.0783,PPO,0.0000,yes,3/3
WFG8_3,DQN,PPO,123,0.0829,0.0791,PPO,0.0000,yes,3/3
WFG8_3,DQN,PPO,2022,0.0829,0.0811,PPO,0.0030,yes,3/3
WFG8_3,PPO,MA-DAC,42,0.0783,0.0818,PPO,0.0000,yes,3/3
WFG8_3,PPO,MA-DAC,123,0.0791,0.0871,PPO,0.0000,yes,3/3
WFG8_3,PPO,MA-DAC,2022,0.0811,0.0855,PPO,0.0000,yes,3/3
WFG9_3,DQN,PPO,42,0.0867,0.0414,PPO,0.0000,yes,3/3
WFG9_3,DQN,PPO,123,0.0550,0.0418,PPO,0.0000,yes,3/3
WFG9_3,DQN,PPO,2022,0.0602,0.0432,PPO,0.0005,yes,3/3
WFG9_3,PPO,MA-DAC,42,0.0414,0.0532,PPO,0.0000,yes,3/3
WFG9_3,PPO,MA-DAC,123,0.0418,0.0475,PPO,0.0000,yes,3/3
WFG9_3,PPO,MA-DAC,2022,0.0432,0.0581,PPO,0.0000,yes,3/3
