problem,algorithm,per_seed,mean,sd,step_range
DTLZ2_3,DQN,0.0512 0.0584 0.0549,0.0548,0.0036,0-395936
DTLZ2_3,PPO,0.0396 0.0386 0.0416,0.0399,0.0016,0-395936
DTLZ2_3,MA-DAC,0.0406 0.0426 0.0408,0.0413,0.0011,0-395936
DTLZ2_3,Just Sizes,0.0397 0.0400 0.0390,0.0396,0.0005,0-395936
DTLZ2_3,SPACE,0.0395 0.0395 0.0421,0.0403,0.0015,0-395936
WFG4_3,DQN,0.0612 0.0675 0.0644,0.0644,0.0031,0-395936
WFG4_3,PPO,0.0537 0.0523 0.0576,0.0545,0.0027,0-395936
WFG4_3,MA-DAC,0.0554 0.0578 0.0572,0.0568,0.0013,0-395936
WFG4_3,Just Sizes,0.0546 0.0537 0.0522,0.0535,0.0012,0-395936
WFG4_3,SPACE,0.0544 0.0538 0.0582,0.0555,0.0024,0-395936
WFG6_3,DQN,0.0679 0.0679 0.0684,0.0681,0.0003,0-395936
WFG6_3,PPO,0.0592 0.0540 0.0595,0.0576,0.0031,0-395936
WFG6_3,MA-DAC,0.0667 0.0631 0.0687,0.0662,0.0028,0-395936
WFG6_3,Just Sizes,0.0563 0.0494 0.0529,0.0528,0.0034,0-395936
WFG6_3,SPACE,0.0608 0.0525 0.0603,0.0579,0.0046,0-395936
