problem,algorithm,n_seeds,n_repeats,mean,sd
DTLZ2_3,DQN,3,30,0.0411,0.0011
DTLZ2_3,PPO,3,30,0.0384,0.0008
DTLZ2_3,MA-DAC,3,30,0.0413,0.0011
DTLZ2_3,Just Sizes,3,30,0.0387,0.0010
DTLZ2_3,SPACE,3,30,0.0387,0.0009
DTLZ4_3,DQN,3,30,0.0519,0.0269
DTLZ4_3,PPO,3,30,0.0742,0.0650
DTLZ4_3,MA-DAC,3,30,0.0666,0.0619
DTLZ4_3,Just Sizes,3,30,0.0759,0.0686
DTLZ4_3,SPACE,3,30,0.0751,0.0697
WFG4_3,DQN,3,30,0.0563,0.0014
WFG4_3,PPO,3,30,0.0522,0.0011
WFG4_3,MA-DAC,3,30,0.0550,0.0013
WFG4_3,Just Sizes,3,30,0.0522,0.0012
WFG4_3,SPACE,3,30,0.0526,0.0012
WFG5_3,DQN,3,30,0.0479,0.0008
WFG5_3,PPO,3,30,0.0479,0.0010
WFG5_3,MA-DAC,3,30,0.0484,0.0009
WFG5_3,Just Sizes,3,30,0.0477,0.0008
WFG5_3,SPACE,3,30,0.0478,0.0010
WFG6_3,DQN,3,30,0.0756,0.0214
WFG6_3,PPO,3,30,0.0494,0.0150
WFG6_3,MA-DAC,3,30,0.0627,0.0184
WFG6_3,Just Sizes,3,30,0.0468,0.0127
WFG6_3,SPACE,3,30,0.0525,0.0192
WFG7_3,DQN,3,30,0.0441,0.0009
WFG7_3,PPO,3,30,0.0409,0.0008
WFG7_3,MA-DAC,3,30,0.0447,0.0012
WFG7_3,Just Sizes,3,30,0.0406,0.0006
WFG7_3,SPACE,3,30,0.0408,0.0007
WFG8_3,DQN,3,30,0.0825,0.0016
WFG8_3,PPO,3,30,0.0795,0.0021
WFG8_3,MA-DAC,3,30,0.0848,0.0032
WFG8_3,Just Sizes,3,30,0.0792,0.0017
WFG8_3,SPACE,3,30,0.0783,0.0017
WFG9_3,DQN,3,30,0.0673,0.0267
WFG9_3,PPO,3,30,0.0422,0.0010
WFG9_3,MA-DAC,3,30,0.0529,0.0178
WFG9_3,Just Sizes,3,30,0.0417,0.0006
WFG9_3,SPACE,3,30,0.0444,0.0115
