#{"t_start": 1784631092.841802, "env_id": "None"}
r,l,t,best_igd,last_igd
31.223573,105,119.015289,0.07943800803585872,0.08018813865687335
81.555232,176,324.983473,0.04789666900373023,0.04854449765209912
55.712084,300,675.487579,0.06107144971742039,0.06166717920906535
35.173733,85,771.896676,0.10524614933968494,0.1094561862246666
80.857536,170,966.641435,0.04725615130109273,0.047270735387859676
34.635886,188,1190.197428,0.07188850986011178,0.07401520563729583
33.069103,172,1368.053145,0.07781293356736883,0.07876644478543797
80.421043,273,1673.8298,0.04669817745442785,0.046907292072189626
59.220914,300,2015.595717,0.05985245627350999,0.05985245627350999
80.088093,194,2259.877019,0.047793755784012376,0.04870998147840408
38.791343,71,2336.283468,0.1069921296457585,0.1094611536144554
35.220035,141,2523.760805,0.07849813022063118,0.0787676140266904
32.515882,143,2685.509238,0.07768433034900595,0.07847764429008663
58.57092,246,2976.993816,0.06344269484588444,0.06503186948138806
81.221123,186,3197.256692,0.047019292358357855,0.04758860169828368
29.385285,136,3342.352524,0.07589480951036186,0.07630968277719984
80.206527,234,3627.435999,0.04778172403828419,0.047815883113440656
53.897156,236,3875.249148,0.06895159115278543,0.07076457360482906
57.791063,259,4166.020783,0.06428795060221984,0.0647057309125686
38.320698,267,4461.5183,0.07155594303089426,0.07171089642216091
80.847651,276,4797.536699,0.04676143910681504,0.04748411509181654
36.071926,256,5101.582783,0.07478032581488289,0.0748619939178796
39.88661,107,5230.172383,0.10014095138399673,0.10155670344817258
78.807013,196,5442.170441,0.046970980760596207,0.047027388252974506
34.070237,61,5504.217696,0.10746906442756377,0.1112936449843679
32.494503,155,5689.321296,0.07753660929928627,0.07916415928434839
80.302462,178,5896.499853,0.0469703010676237,0.04800865406873333
59.444619,262,6183.655784,0.06229923037838058,0.06287285971180058
81.146349,168,6375.481308,0.046974908341522556,0.04725077357075926
29.854061,190,6576.422089,0.0756620247502285,0.07616504806574649
79.337792,172,6784.019755,0.04763832503627672,0.04797595327359365
59.099484,300,7129.204524,0.06577733261546925,0.06595191134696601
33.795524,115,7274.743831,0.07581003795034381,0.07707187962939986
34.95476,61,7353.405658,0.10541103521876513,0.10784299651990124
37.778516,147,7525.024521,0.07316590104366838,0.07542452157590991
79.398492,158,7684.454931,0.04750585490245655,0.04776554095366218
34.878489,277,7996.711412,0.07296617631302747,0.07416398440944846
82.718421,235,8249.545217,0.04678272373654484,0.0474532371306479
