#{"t_start": 1784231519.7624302, "env_id": "None"}
r,l,t
50.238788,300,152.22338
81.984236,227,293.375107
66.83327,300,452.162698
41.424739,300,598.904032
81.380246,193,729.879006
63.27193,268,866.804281
81.567287,188,993.116301
40.755824,300,1142.057865
64.396912,265,1278.933265
49.969526,300,1424.520922
81.576087,236,1568.046281
41.216903,130,1641.646338
82.611301,300,1828.030953
63.835955,300,1984.406616
45.499786,300,2131.400724
82.128228,300,2309.16971
65.92996,259,2446.708987
45.875184,291,2588.469959
41.421711,258,2717.373943
38.240272,112,2783.50472
82.448719,300,2959.357743
83.695239,300,3127.844207
45.107777,300,3273.107414
